time_s,r_0.0_cm,r_0.1_cm,r_0.2_cm,r_0.3_cm,r_0.4_cm,r_0.5_cm,r_0.6_cm,r_0.7_cm,r_0.8_cm,r_0.9_cm,r_1.0_cm,r_1.1_cm,r_1.2_cm,r_1.3_cm,r_1.4_cm,r_1.5_cm,r_1.6_cm,r_1.7_cm,r_1.8_cm,r_1.9_cm,r_2.0_cm
1509,2.5499992487537781,2.5499988510687519,2.5499971228122722,2.5499918258273007,2.549976556957994,2.5499344732516502,2.5498239542164809,2.5495484503427144,2.5488982527375055,2.5474479502721366,2.5443934722755341,2.5383220178861579,2.5269310555684967,2.5067473005342462,2.4729310576970329,2.4192635442084631,2.3383811526097578,2.2222263310971537,2.0625203251278306,1.8507694615535679,1.5765213558158024
1510,2.5499992416304234,2.5499988407495318,2.5499970994320216,2.549991766059359,2.5499764033077921,2.5499340902416527,2.5498230420294901,2.5495463902185063,2.5488938602004776,2.5474391337101578,2.5443768466283188,2.5382926052364709,2.5268822887909503,2.5066715754320863,2.4728209891891764,2.4191138512198265,2.3381907866926803,2.2220002135560475,2.0622700025795426,1.8505121709162664,1.5762773418090053
1511,2.5499992344488596,2.5499988303508831,2.5499970758914952,2.5499917059301187,2.5499762488443158,2.5499337054731885,2.5498221262520588,2.549544323241197,2.5488894555307184,2.5474302973756027,2.5443601915834844,2.5382631532054085,2.5268334754408337,2.5065958036423988,2.4727108850864026,2.4189641469878032,2.3380004453378715,2.2217741615421773,2.0620197819213706,1.8502550040715442,1.5760334490559151
1512,2.5499992272086902,2.5499988198722994,2.5499970521898141,2.5499916454378972,2.5499760935643905,2.5499333189406492,2.549821206875138,2.5495422493978062,2.5488850387123603,2.5474214412534897,2.544343507133989,2.538233661803043,2.5267846155530251,2.5065199852257347,2.4726007454644932,2.4188144315815037,2.3378101285806347,2.2215481750348784,2.06176966307337,1.8499979608983694,1.5757896775562255
1513,2.5499992199095205,2.5499988093132799,2.5499970283260955,2.5499915845810031,2.5499759374648381,2.5499329306384202,2.5498202838896709,2.5495401686753505,2.5488806097295553,2.5474125653288771,2.5443267932728442,2.5382041310395032,2.5267357091624199,2.5064441202425991,2.4724905703991151,2.418664705069888,2.3376198364561422,2.2213222540134403,2.061519645955765,1.8497410412742903,1.5755460272910036
1514,2.5499992125509512,2.5499987986733159,2.5499970042994549,2.5499915233577428,2.549975780542471,2.5499325405608766,2.5498193572865944,2.5495380810608528,2.5488761685664727,2.5474036695868576,2.5443100499931157,2.5381745609249604,2.5266867563039335,2.5063682087534529,2.4723803599658201,2.4185149675217654,2.3374295689994353,2.2210963984571173,2.0612697304889367,1.8494842450756528,1.575302498229622
1515,2.5499992051325835,2.549998787951901,2.5499969801090026,2.5499914617664148,2.5499756227940962,2.5499321487023883,2.5498184270568411,2.5495359865413354,2.5488717152072988,2.5473947540125654,2.5442932772879234,2.5381449514696421,2.5266377570124958,2.5062922508187109,2.4722701142400467,2.4183652190057949,2.337239326245427,2.2208706083451211,2.0610199165934335,1.8492275721773608,1.5750590903213912
1516,2.5499991976540151,2.5499987771485215,2.5499969557538464,2.5499913998053141,2.5499754642165104,2.5499317550573148,2.5498174931913362,2.5495338851038243,2.548867249636237,2.5473858185911684,2.5442764751504376,2.5381153026838223,2.526588711323055,2.5062162464987447,2.4721598332971206,2.4182154595904812,2.3370491082289013,2.2206448836566315,2.0607702041899514,1.848971022453626,1.5748158035171842
1517,2.5499991901148427,2.5499987662626653,2.5499969312330899,2.5499913374727305,2.5499753048065057,2.5499313596200084,2.5498165556810006,2.5495317767353476,2.5488627718375092,2.5473768633078744,2.5442596435738842,2.5380856145778279,2.5265396192705749,2.5061401958538783,2.4720495172122523,2.4180656893441803,2.3368589149845143,2.2204192243707852,2.0605205931993491,1.8487145957772542,1.5745726377478335
1518,2.5499991825146586,2.5499987552938155,2.549996906545835,2.5499912747669482,2.5499751445608672,2.549930962384813,2.549815614516747,2.5495296614229366,2.5488582817953556,2.5473678881479311,2.5442427825515437,2.5380558871620336,2.526490480890037,2.5060640989443908,2.4719391660605403,2.4179159083350985,2.3366687465467897,2.2201936304666874,2.0602710835426197,1.8484582920209354,1.5743295929508523
1519,2.5499991748530553,2.5499987442414538,2.5499968816911784,2.5499912116862458,2.549974983476373,2.5499305633460647,2.5498146696894843,2.5495275391536243,2.5488537794940327,2.5473588930966224,2.544225892076748,2.5380261204468648,2.5264412962164386,2.5059879558305158,2.4718287799169696,2.4177661166312916,2.3364786029501254,2.2199681019234063,2.0600216751409155,1.8482021110561353,1.5740866690482282
1520,2.5499991671296227,2.5499987331050584,2.549996856668213,2.5499911482288975,2.5499748215497919,2.5499301624980926,2.5498137211901164,2.5495254099144447,2.5488492649178167,2.5473498781392685,2.5442089721428816,2.5379963144427982,2.5263920652847909,2.5059117665724413,2.4717183588564109,2.4176163143006644,2.3362884842287923,2.2197426387199801,2.0597723679155164,1.8479460527546154,1.5738438659652036
1521,2.5499991593439488,2.5499987218841054,2.5499968314760291,2.5499910843931719,2.5499746587778889,2.5499297598352166,2.5498127690095398,2.5495232736924356,2.5488447380510006,2.5473408432612281,2.5441920227433816,2.5379664691603581,2.5263427881301235,2.5058355312303093,2.4716079029536235,2.4174665014109729,2.3360983904169323,2.2195172408354091,2.059523161787852,1.8476901169872433,1.5736011836177011
1522,2.5499991514956175,2.5499987105780701,2.5499968061137128,2.5499910201773321,2.5499744951574188,2.5499293553517473,2.5498118131386449,2.5495211304746368,2.5488401988778957,2.5473317884478983,2.5441750438717388,2.5379365846101174,2.5262934647874808,2.5057592498642163,2.4714974122832518,2.417316678029827,2.3359083215485597,2.2192919082486648,2.0592740566794716,1.847434303625338,1.5733586219209159
1523,2.5499991435842126,2.5499986991864239,2.5499967805803472,2.5499909555796365,2.5499743306851315,2.5499289490419894,2.5498108535683182,2.5495189802480911,2.5488356473828304,2.547322713684713,2.5441580355214968,2.5379066608026992,2.526244095291923,2.5056829225342132,2.4713868869198303,2.4171668442246852,2.3357182776575631,2.2190666409386868,2.0590250525120566,1.8471786125399194,1.5731161807856637
